Month, Number of Unique Visitors, Average Visit Time, Total Time Spent By Visitors
1/2018, 5, 1576 Minutes, 5 Days 11 Hours and 20 Minutes
2/2018, 4, 742 Minutes, 2 Days 1 Hours and 29 Minutes
3/2018, 16, 687 Minutes, 9 Days 13 Hours and 7 Minutes
4/2018, 9, 259 Minutes, 1 Days 19 Hours and 10 Minutes
5/2018, 4, 42 Minutes, 0 Days 2 Hours and 49 Minutes
