Month, Number of Unique Visitors, Average Visit Time, Total Time Spent By Visitors
1/2018, 119, 82 Minutes, 11 Days 6 Hours and 49 Minutes
2/2018, 259, 107 Minutes, 38 Days 23 Hours and 0 Minutes
3/2018, 322, 115 Minutes, 56 Days 7 Hours and 53 Minutes
4/2018, 351, 108 Minutes, 52 Days 18 Hours and 52 Minutes
5/2018, 21, 67 Minutes, 1 Days 3 Hours and 10 Minutes
